DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Nouville,spearfishing,Injuries to abdomen and arm,N,"Bull shark, 3 m ",Jan,Fishing,bull shark
4-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,diving,Severe laceration to left forearm,N,Grey reef shark. 2 m,Jan,Diving,grey shark
3-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,free diving,"No injury, shark took his swimfin",N,"White shark, 3.5 m",Jan,Diving,white shark
2-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,surfing,Minor injury to left forearm,N,small shark,Jan,Surfing,small shark
5-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,Foot bitten,N,Wobbegong shark?,Jan,Surfing,wobbegong shark?
31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",surfing,Severe lacerations to left thigh & knee,N,Tiger shark,Dec,Surfing,tiger shark
30-Dec-2017,2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",surfing,Foot bitten,N,,Dec,Surfing,unknown
21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,fishing / wading,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark,Dec,Fishing,juvenile nurse shark
9-Dec-2017,2017.0,Unprovoked,BAHAMAS,,,snorkeling,Minor injury to arm,N,Nurse shark. 5',Dec,snorkeling,nurse shark. 5'
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,scuba diving,Serious injury to leg,N,"Tiger shark, female",Nov,Diving,tiger shark
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,scuba diving,FATAL,Y,"Tiger shark, female",Nov,Diving,tiger shark
25-Nov-2017,2017.0,Sea Disaster,LIBYA,, Gars Garabulli,2 boats capsized,FATAL,Y,Some drowned but other may have been killed by blue sharks,Nov,2 boats capsized,some drowned but other may have been killed by blue sharks
