DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
5-Jul-2,2001.0,Unprovoked,USA,Florida,"Amelia Island, Nassau County",boogie boarding,Foot lacerated,N,0.9 m  [3'] shark,Jul,boogie boarding,0.9 m  [3'] shark
-Jul-2,2001.0,Unprovoked,MEXICO,Baja California,Ensenada,surfing,Foot bitten,N,,Jul,Surfing,unknown
-Jul-2,2001.0,Unprovoked,USA,Florida,Gulf Islands National Seashore,swimming,"Arm severed, surgically reattached",N,"Bull shark, 2.3 m [7.5'] ",Jul,Swiming,bull shark
3-Jul-2,2001.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County ",,Hand bitten,N,,Jul,Fishing,unknown
Jul-2,2001.0,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",floating face-down in knee-deep water,2-inch cut on dorsum of left foot,N,,Jul,floating face-down in knee-deep water,unknown
2-Jun-2,2001.0,Unprovoked,USA,Texas,Padre Island National Seashore,swimming,Leg lacerated,N,1.5 m [5'] shark,Jun,Swiming,1.5 m [5'] shark
-Jun-2,2001.0,Provoked,USA,California,Catalina Island,spearfishing,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N,"White shark, 2.4 m to 3 m [8' to 10'] ",Jun,Fishing,white shark
9-Jun-2,2001.0,Invalid,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),hiking on the beach,Remains recovered from gut of a  3.7 m [12'] tiger shark,UNKNOWN,Shark involvement prior to death was not confirmed,Jun,hiking on the beach,shark involvement prior to death was not confirmed
3-Jun-2,2001.0,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",wading,3 puncture wounds on each side of her left  hand,N,2' shark,Jun,wading,2' shark
29-May-2,2001.0,Unprovoked,USA,Texas,Galveston Island,,Survived,N,,May,Fishing,unknown
23-May-2,2001.0,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",swimming,Shin lacerated,N,1.2 m to 1.5 m [4.5' to 5'] shark,May,Swiming,1.2 m to 1.5 m [4.5' to 5'] shark
20-May-2,2001.0,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",swimming,5.5-inch laceration on calf,N,,May,Swiming,unknown
8-May-2,2001.0,Provoked,PHILIPPINES,Zamboanga del Sur Province,,shark fishing,Arm bitten PROVOKED INCIDENT,N,,May,Fishing,unknown
-May-2,2001.0,Invalid,MADAGASCAR,,Shipwrecked Ferry M/V Samsonnette,,Fatal or drowned & remains scavenged by shark,UNKNOWN,Shark involvement prior to death was not confirmed,May,Fishing,shark involvement prior to death was not confirmed
8-May-2,2001.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,surfing,Leg bitten,N,"White shark, 2.7 m to 3 m [9' to 10'] ",May,Surfing,white shark
4-May-2,2001.0,Unprovoked,AUSTRALIA,New South Wales,Noraville,surfing,"Chest lacerated, surfboard bitten",N,,May,Surfing,unknown
3-May-2,2001.0,Unprovoked,USA,Florida,"Jacksonville, Duval County",surfing,Foot lacerated ,N,1.2 m to 1.5 m [4' to 5'] shark,May,Surfing,1.2 m to 1.5 m [4' to 5'] shark
May-2,2001.0,Unprovoked,FIJI,Taveuni,,"spearfishing, carrying his catch",FATAL,Y,,May,Fishing,unknown
28-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",boogie boarding,4 small lacerations on lower right leg,N,,Apr,boogie boarding,unknown
3-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot & ankle lacerated,N,,Apr,Surfing,unknown
3-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot & ankle lacerated,N,Possibly a juvenile blacktip or spinner shark,Apr,Surfing,blacktip shark
2-Apr-2,2001.0,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",,Right ankle & lower leg lacerated,N,,Apr,Fishing,unknown
2-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot & ankle lacerated,N,,Apr,Surfing,unknown
2-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Small cuts on big & pinky toes of left foot,N,Possibly a juvenile blacktip or spinner shark,Apr,Surfing,blacktip shark
2-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",body boarding,Foot & ankle lacerated,N,Possibly a juvenile blacktip or spinner shark,Apr,body boarding,blacktip shark
2-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",surfing,Foot lacerated,N,Possibly a 1.5 m [5'] blacktip or spinner shark,Apr,Surfing,blacktip shark
-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor cuts on right heel & foot,N,Possibly a juvenile blacktip or spinner shark,Apr,Surfing,blacktip shark
-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",surfing,Lacerations to top & bottom of left foot,N,,Apr,Surfing,unknown
-Apr-2,2001.0,Unprovoked,USA,Hawaii,"Ewa Beach, O'ahu",surfing,Minor punctures & lacerations on left hand ,N,"1 m shark, possibly whitetip reef shark",Apr,Surfing,white shark
-Apr-2,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot lacerated,N,Possibly a juvenile blacktip or spinner shark,Apr,Surfing,blacktip shark
8-Apr-2,2001.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,surfing,"Thigh, hip & buttock bitten",N,"White shark, 2.7 m [9'] ",Apr,Surfing,white shark
8-Apr-2,2001.0,Provoked,AUSTRALIA,New South Wales,Bronte Beach,snorkeling,Wrist lacerated PROVOKED INCIDENT,N,Wobbegong shark,Apr,snorkeling,wobbegong shark
5-Apr-2,2001.0,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",standing alongside surfboard,Minor lacerations to dorsum of left foot,N,"""small shark""",Apr,Surfing,"""small shark"""
2-Ap-2,2001.0,Unprovoked,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",batin,Left thigh bitten,N,,Apr,batin,unknown
2-Apr-2,2001.0,Unprovoked,AUSTRALIA,New South Wales,Nambucca River Entrance,surfing,Calf bitten,N,Bronze whaler shark,Apr,Surfing,bronze whaler shark
23-Mar-2,2001.0,Unprovoked,USA,Hawaii,"Sandy Beach, Oahu",body-boarding,"Minor cuts on left hand, body board bitten",N,,Mar,body-boarding,unknown
9-Mar-2,2001.0,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",surfing,Fingers & hand lacerated,N,"Spinner shark, 1.2 m to 1.5 m [4' to 5'] ",Mar,Surfing,"spinner shark, 1.2 m to 1.5 m [4' to 5'] "
8-Mar-2,2001.0,Invalid,BRAZIL,Bahia,Nova Vicosa,attempting to catch a crocodile,Lacerations below the knee,UNKNOWN,Shark involvement not confirmed,Mar,attempting to catch a crocodile,shark involvement not confirmed
3-Mar-2,2001.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",swimming,FATAL,Y,,Mar,Swiming,unknown
Mar-2,2001.0,Sea Disaster,CARIBBEAN SEA,,Between St. Maarten & Anguilla,sinking of the 40' esperanza off st. maartin with 36 refugees on board,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",Y,"Tiger shark, 8' ",Mar,sinking of the 40' esperanza off st. maartin with 36 refugees on board,tiger shark
26-Feb-2,2001.0,Boating,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),fishing for whiting,No injury to occupants,N,"White shark, 5 m [16.5'] ",Feb,Fishing,white shark
-Feb-2,2001.0,Invalid,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),unknown,Bones recovered by fishermen in 300-kg [662-lb] white shark�s gut,UNKNOWN,Shark involvement prior to death was not confirmed,Feb,unknown,shark involvement prior to death was not confirmed
4-Feb-2,2001.0,Unprovoked,AUSTRALIA,New South Wales,Broome Head,surfing,Leg bitten,N,"Bronze whaler shark, 2.5 m [8.25']  k",Feb,Surfing,"bronze whaler shark, 2.5 m [8.25']  k"
24-Jan-2,2001.0,Boating,AUSTRALIA,New South Wales,South West Rocks,kayaking,"No injury, shark rammed & bit kayak",N,5 m shark,Jan,kayaking,5 m shark
24-Jan-2,2001.0,Unprovoked,CUBA,Holquin Province,Off Blau Costa Verde resort,swimming,Left arm bitten,N,2 m [6.75'] shark,Jan,Swiming,2 m [6.75'] shark
21-Jan-2,2001.0,Boating,AUSTRALIA,South Australia,Adelaide,fishing,No injury to occupants,N,"White shark, 4.3 m [14'] ",Jan,Fishing,white shark
9-Jan-2,2001.0,Unprovoked,USA,California,"Sunset Cliffs, San Diego",surfing,"Foot bruised, board dinged",N,"1.8 m to 2.4 m [6' to 8'] ""black finned shark""",Jan,Surfing,"1.8 m to 2.4 m [6' to 8'] ""black finned shark"""
-Jan-2,2001.0,Boating,NEW ZEALAND,North Island,Sandy Bay/Whananaki,kayaking,"No injury, kayak bitten",N,White shark,Jan,kayaking,white shark
24-Dec-2,2000.0,Unprovoked,AUSTRALIA,Queensland,Flinders Cay,scuba diving,Hand bitten,N,,Dec,Diving,unknown
2-Dec-2,2000.0,Unprovoked,FIJI,Taveuni,Garden Island Resort,swimming back from anchored sailboat,"FATAL, leg severed ",Y,6 m [20'] shark,Dec,Swiming,6 m [20'] shark
-Dec-2,2000.0,Boating,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",fishing for whiting,No injury to occupants,N,"White shark, 4.5 m [14'9""] ",Dec,Fishing,white shark
5-Dec-2,2000.0,Unprovoked,CANADA,New Brunswick,Bay of Fundy,diving for sea urchins,No injury,N,"Porbeagle shark, 3 m [10']rk",Dec,Diving,"porbeagle shark, 3 m [10']rk"
3-Dec-2,2000.0,Unprovoked,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",spearfishing,Left elbow and forearm bitten,N,"Bronze whaler shark, 2.5 m [8.25'] ",Dec,Fishing,"bronze whaler shark, 2.5 m [8.25'] "
Dec-2,2000.0,Unprovoked,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",surfing,FATAL,Y,,Dec,Surfing,unknown
21-Nov-2,2000.0,Unprovoked,AUSTRALIA,Queensland,Orpheus Island,diving (shell maintenance),"No injury, wetsuit & swimfin torn",N,"Tiger shark, 4 m ",Nov,Diving,tiger shark
20-Nov-2,2000.0,Invalid,AUSTRALIA,South Australia,Ceduna,shipwrecked,"Missing, thought to have been taken by a shark",UNKNOWN,Shark involvement not confirmed,Nov,shipwrecked,shark involvement not confirmed
7-Nov-2,2000.0,Unprovoked,USA,Florida,"Bonita Springs, Lee County",swimming,Right calf lacerated,N,1.2 m to 1.8 m [4' to 6'] shark,Nov,Swiming,1.2 m to 1.8 m [4' to 6'] shark
-Nov-2,2000.0,Invalid,USA,Florida,"Vaughn Beach, Flagler County",walking,No injury,UNKNOWN,Invalid,Nov,walking,invalid
-Nov-2,2000.0,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",swimming,Leg & feet lacerated,N,"White shark, 4.9 m [16'] ",Nov,Swiming,white shark
-Nov-2,2000.0,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",swimming,"FATAL, torso bitten, leg severed ",Y,"White shark, 5 m [16.5'] ",Nov,Swiming,white shark
4-Nov-2,2000.0,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",surfing,Both thighs bitten,N,"White shark, 2.4 m to 3 m [8' to 10'] ",Nov,Surfing,white shark
29-Oct-2,2000.0,Boating,AUSTRALIA,Queensland,Peel Island,fishing ,"No Injury to occupant, shark holed and sank boat",N,White shark,Oct,Fishing,white shark
20-Oct-2,2000.0,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",surfing,Leg lacerated,N,,Oct,Surfing,unknown
8-Oct-2,2000.0,Unprovoked,USA,Hawaii,Olowalu,swimming / snorkeling,Right side of back / torso lacerated,N,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Oct,Swiming,tiger shark
4-Oct-2,2000.0,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",swimming,Right hand lacerated,N,,Oct,Swiming,unknown
9-Oct-2,2000.0,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",surfing,Foot lacerated,N,2.1 to 2.4 m [7' to 8'] shark,Oct,Surfing,2.1 to 2.4 m [7' to 8'] shark
-Oct-2,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Fingers lacerated,N,"Blacktip shark, 2' ",Oct,Surfing,blacktip shark
-Oct-2,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",body surfing,Right foot & heel lacerated,N,,Oct,Surfing,unknown
2-Oct-2,2000.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",surfing,Upper left arm lacerated,N,,Oct,Surfing,unknown
29-Sep-2,2000.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",sitting on surfboard,No injury,N,"White shark, 4.3 m [14']",Sep,Surfing,white shark
25-Sep-2,2000.0,Unprovoked,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",surfing,FATAL,Y,White shark,Sep,Surfing,white shark
24-Sep-2,2000.0,Unprovoked,AUSTRALIA,South Australia,Cactus Beach near Penong,surfing,FATAL,Y,"White shark, 4 m to 5 m [13' to 16.5'] ",Sep,Surfing,white shark
9-Sep-2,2000.0,Provoked,AUSTRALIA,New South Wales,Wollongong,fell onto dead shark,Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT,N,100-kg [221-lb] dead blue shark,Sep,fell onto dead shark,100-kg [221-lb] dead blue shark
-Sep-2,2000.0,Unprovoked,OKINAWA,Miyako Island,Sunayama Beach,surfing, FATAL,Y,"White shark, 2.5 m ",Sep,Surfing,white shark
-Sep-2,2000.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",,Non-fatal,N,,Sep,Fishing,unknown
5-Sep-2,2000.0,Unprovoked,USA,Florida,"Fort Pierce Inlet, St Lucie County",standing / surfing,Right lower leg & ankle lacerated,N,,Sep,Surfing,unknown
2-Sep-2,2000.0,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",surfing,Puncture wounds on knee,N,,Sep,Surfing,unknown
-Sep-2,2000.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",swimming / body surfing,Finger lacerated,N,60 cm to 90 cm [2' to 3'] shark,Sep,Swiming,60 cm to 90 cm [2' to 3'] shark
-Sep-2,2000.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",swimming,Minor injury to arm and hand,N,,Sep,Swiming,unknown
-Sep-2,2000.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,free diving,Swim fin bitten,N,"White shark, 3.5 m [11.5']  male ",Sep,Diving,white shark
8-Sep-2,2000.0,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",swimming,FATAL,Y,Thought to involve a Zambesi shark,Sep,Swiming,thought to involve a zambesi shark
8-Sep-2,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",wading,Left foot lacerated ,N,1.5 m [5'] shark,Sep,wading,1.5 m [5'] shark
8-Sep-2,2000.0,Unprovoked,REUNION,Saint-Pierre,Pic du Diable ,surfing,Left arm bitten,N,"Tiger shark, 3 m [10'] ",Sep,Surfing,tiger shark
Early Sep-2,2000.0,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",swimming,FATAL,Y,Thought to involve a Zambesi shark,Sep,Swiming,thought to involve a zambesi shark
31-Aug-2,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Punctures & lacerations on right foot,N,A 2' shark was seen in the area by witnesses,Aug,Swiming,a 2' shark was seen in the area by witnesses
30-Aug-2,2000.0,Unprovoked,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",jumped into the water,FATAL,Y,"Thought to involve a 2.7 m [9'], 400-lb bull shark",Aug,jumped into the water,bull shark
27-Aug-2,2000.0,Provoked,USA,Alaska,Prince William Sound,conducting research,Leg bitten by netted shark PROVOKED INCIDENT,N,Salmon shark,Aug,conducting research,salmon shark
21-Aug-2,2000.0,Unprovoked,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",swimming out to porpoises ,"Severe gash to left hand above wrist, almost severing hand",N,,Aug,Swiming,unknown
5-Aug-2,2000.0,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui","windsurfing, but sitting on his board",Left calf lacerated,N,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  ",Aug,Surfing,tiger shark
3-Aug-2,2000.0,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",surfing / wading,Minor lacerations to the dorsum of the right foot,N,juvenile shark,Aug,Surfing,juvenile shark
2-Aug-2,2000.0,Unprovoked,USA,Florida,"St. Augustine, St. Johns County",standing,Severely bitten on lower leg ,N,"Blacktip shark, 2.4 m to 3 m [8' to 10'] ",Aug,standing,blacktip shark
-Aug-2,2000.0,Invalid,USA,North Carolina,"Emerald Isle, Carteret County",swimming ,Non-fatal,UNKNOWN,Shark involvement  not confirmed,Aug,Swiming,shark involvement  not confirmed
-Aug-2,2000.0,Invalid,USA,Florida,Florida Keys,attempting to illegally enter the usa,Shark involvement probably post-mortem,UNKNOWN,Shark involvement prior to death was not confirmed,Aug,attempting to illegally enter the usa,shark involvement prior to death was not confirmed
Aug-2,2000.0,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",swimming,FATAL,Y,Thought to involve a Zambesi shark,Aug,Swiming,thought to involve a zambesi shark
25-Jul-2,2000.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,Minor laceration on left leg,N,,Jul,Fishing,unknown
22-Jul-2,2000.0,Unprovoked,USA,Florida,"Big Pine Key, Monroe County ",snorkeling,Leg pinched,N,"Nurse shark, 1.5 m [5']",Jul,snorkeling,"nurse shark, 1.5 m [5']"
7-Jul-2,2000.0,Unprovoked,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",surfing,Foot lacerated,N,,Jul,Surfing,unknown
-Jul-2,2000.0,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",surfing,Minor lacerations on foot,N,1.8 m [6'] grey-colored shark,Jul,Surfing,grey shark
-Jul-2,2000.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",surfing,Hand lacerated,N,,Jul,Surfing,unknown
5-Jul-2,2000.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,surfing,"No injury, flung off board",N,,Jul,Surfing,unknown
5-Jul-2,2000.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,South of Durban,surfing,No Injury,N,,Jul,Surfing,unknown
2-Jul-2,2000.0,Unprovoked, TONGA,Minerva Reef,Treated at Nuku-alofa,scuba diving,Left arm bitten,N,"Grey reef shark, 2 m [6.75'] ",Jul,Diving,grey shark
-Jul-2,2000.0,Unprovoked,USA,Florida,"Daytona  Beach, Volusia County",wading,Minor laceration & 3 punctures to right foot,N,,Jul,wading,unknown
9-Jul-2,2000.0,Unprovoked,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",swimming ,Knee & calf lacerated,N,,Jul,Swiming,unknown
7-Jul-2,2000.0,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",jumping,Ankle & foot lacerated,N,"Lemon shark, 2.1  m to 2.4 m [7' to 8'] ",Jul,jumping,lemon shark
-Jul-2,2000.0,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",playing,Calf lacerated,N,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?",Jul,playing,tiger shark
4-Jul-2,2000.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",wading,Left inner thigh,N,,Jul,wading,unknown
4-Jul-2,2000.0,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","spearfishing, holding mesh bag with speared fish",Lower right calf lacerated,N,"Nurse shark, 1.2 m [4'] ",Jul,Fishing,"nurse shark, 1.2 m [4'] "
2-Jul-2,2000.0,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",wading,Left calf & hand lacerated,N,0.9 m [3'] shark,Jul,wading,0.9 m [3'] shark
2-Jul-2,2000.0,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",standing,Left thigh lacerated,N,"0.9 m [3'] shark,  probably a blacktip or spinner shark",Jul,standing,blacktip shark
Jul-2,2000.0,Unprovoked,TANZANIA,,"Coco Beach, Dar-es-Salaam",swimming,FATAL,Y,Thought to involve a Zambesi shark,Jul,Swiming,thought to involve a zambesi shark
30-Jun-2,2000.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",,FATAL,Y,,Jun,Fishing,unknown
29-Jun-2,2000.0,Boating,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",fishing,"No injury, shark bit the dinghy",N,"Mako shark, 2 m [6.75'] ",Jun,Fishing,"mako shark, 2 m [6.75'] "
9-Jun-2,2000.0,Unprovoked,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",standing,Right ankle lacerated,N,,Jun,standing,unknown
3-Jun-2,2000.0,Boating,USA,Florida,"Pensacola Bay, Escambia County",sailing,"No injury to occupants, boat's rear platform bitten",N,"Bull shark, 2.4 m [8']",Jun,sailing,bull shark
-Jun-2,2000.0,Unprovoked,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",surfing,Foot lacerated,N,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] ",Jun,Surfing,blacktip shark
9-Jun-2,2000.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",swimming,Puncture wounds on right hip and arm,N,Bull shark?,Jun,Swiming,bull shark
9-Jun-2,2000.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",swimming ,Right forearm severed surgically amputated above elbow,N,Bull shark,Jun,Swiming,bull shark
2-Jun-2,2000.0,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",snorkeling,Right forearm lacerated,N,,Jun,snorkeling,unknown
Early Jun-2,2000.0,Unprovoked,TANZANIA,,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",swimming,"FATAL, legs severed  ",Y,Thought to involve a Zambesi shark,Jun,Swiming,thought to involve a zambesi shark
3-May-2,2000.0,Sea Disaster,NEW CALEDONIA,South Province,Mont Dore,"air disaster - piper aircraft crashed into the sea, killing all on board",Sharks prevented recovery of remains,Y,Tiger sharks & bull sharks (20 sharks in all),May,"air disaster - piper aircraft crashed into the sea, killing all on board",tiger shark
9-May-2,2000.0,Invalid,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",,Probable drowning,UNKNOWN,Shark involvement prior to death was not confirmed,May,Fishing,shark involvement prior to death was not confirmed
7-May-2,2000.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",standing,Left leg & ankle bitten,N,,May,standing,unknown
7-May-2,2000.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",diving,FATAL,Y,,May,Diving,unknown
4-Apr-2,2000.0,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",walking,Left foot lacerated,N,,Apr,walking,unknown
9-Apr-2,2000.0,Unprovoked,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",boogie boarding / wading,Puncture marks on right thigh,N,,Apr,boogie boarding / wading,unknown
31-Mar-2,2000.0,Unprovoked,USA,Florida,Santa Rosa Sound Escambia County,fishing,"No Injury, bumped by shark",N,,Mar,Fishing,unknown
30-Mar-2,2000.0,Unprovoked,AUSTRALIA,Queensland,"Main Beach, Gold Coast",swimming,Left calf bitten,N,2.5 m shark,Mar,Swiming,2.5 m shark
26-Mar-2,2000.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",boogie boarding,Right knee lacerated,N,1.8 m [6'] shark,Mar,boogie boarding,1.8 m [6'] shark
24-Mar-2,2000.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",surfing,Left hand bitten,N,1.2 m [4'] shark,Mar,Surfing,1.2 m [4'] shark
5-Mar-2,2000.0,Unprovoked,NEW CALEDONIA,North Province,Poum,spearfishing,FATAL,Y,Tiger shark?,Mar,Fishing,tiger shark
4-Mar-2,2000.0,Unprovoked,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",surfing,No Injury,N,"Tiger shark, 4 m [13'] ?",Mar,Surfing,tiger shark
-Mar-2,2000.0,Boating,AUSTRALIA,New South Wales,Parramatta River,rowing,No Injury to occupants,N,2 m to 2.5 m [6.75'  to 8.25'] shark,Mar,rowing,2 m to 2.5 m [6.75'  to 8.25'] shark
9-Mar-2,2000.0,Boating,AUSTRALIA,New South Wales,Parramatta River,rowing,No injury to occupants; oar bitten,N,,Mar,rowing,unknown
3-Mar-2,2000.0,Invalid,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,kayaking,Reported as shark attack but probable drowning ,UNKNOWN,Shark involvement  questionable,Mar,kayaking,shark involvement  questionable
2-Mar-2,2000.0,Unprovoked,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",swimming,Survived,N,,Mar,Swiming,unknown
Mar-2,2000.0,Unprovoked,USA,Louisiana,Midnight Lump (38 miles offshore),spearfishing,"No injury to diver, speargun damaged",N,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] ",Mar,Fishing,"shortfin mako shark, 3 m to 3.4 m [10' to 11'] "
21-Feb-2,2000.0,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",,Right calf bitten,N,,Feb,Fishing,unknown
9-Feb-2,2000.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,body surfing,Foot bitten,N,"White shark, 2.5 m ",Feb,Surfing,white shark
4-Feb-2,2000.0,Provoked,UNITED KINGDOM,Worcestershire,The Fountain Pub in Tenbury Wells,feeding prawns to captive sharks,Fingers bitten PROVOKED INCIDENT,N,"Miami, a 60 cm blacktip  shark and two 60 cm bamboo catsharks",Feb,feeding prawns to captive sharks,blacktip shark
3-Feb-2,2000.0,Unprovoked,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),surfing,"No injury, wetsuit punctured",N,,Feb,Surfing,unknown
-Feb-2,2000.0,Unprovoked,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",surfing,Hand bitten,N,3 m [10'] shark,Feb,Surfing,3 m [10'] shark
28-Jan-2,2000.0,Boating,REUNION,,Saint Pierre,canoe with 3 men onboard sank,FATAL,Y,,Jan,canoe with 3 men onboard sank,unknown
5-Jan-2,2000.0,Unprovoked,THAILAND,Phang nga Province,Phang nga Island,diving,FATAL,Y,,Jan,Diving,unknown
2,2000.0,Boating,USA,Florida,"Boca Grande, Lee County",fishing for tarpon,No injury to occupant; shark bit propeller,N,Hammerhead shark,2,Fishing,hammerhead shark
31-Dec-1999,1999.0,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,surfing,Six puncture wounds on  leg,N,Sevengill shark,Dec,Surfing,sevengill shark
